id,sku,http_status,ok,payload_keys,price_fields_written,error
3881,4130-14,200,True,description|meta_description|meta_title|short_description|specifications,none,
3880,4130-12,200,True,description|meta_description|meta_title|short_description|specifications,none,
3878,4130-10,200,True,description|meta_description|meta_title|short_description|specifications,none,
3876,4130-8,200,True,description|meta_description|meta_title|short_description|specifications,none,
3874,4130-6,200,True,description|meta_description|meta_title|short_description|specifications,none,
3873,4130-5,200,True,description|meta_description|meta_title|short_description|specifications,none,
3872,4130-4,200,True,description|meta_description|meta_title|short_description|specifications,none,
3871,N30-4120,200,True,description|meta_description|meta_title|short_description|specifications,none,
3869,4120-30,200,True,description|meta_description|meta_title|short_description|specifications,none,
3867,N27-4120,200,True,description|meta_description|meta_title|short_description|specifications,none,
3865,4120-27,200,True,description|meta_description|meta_title|short_description|specifications,none,
3863,N24-4120,200,True,description|meta_description|meta_title|short_description|specifications,none,
3862,4120-24,200,True,description|meta_description|meta_title|short_description|specifications,none,
3861,N22-4120,200,True,description|meta_description|meta_title|short_description|specifications,none,
3859,4120-22,200,True,description|meta_description|meta_title|short_description|specifications,none,
3858,N20-4120,200,True,description|meta_description|meta_title|short_description|specifications,none,
3857,4120-20,200,True,description|meta_description|meta_title|short_description|specifications,none,
3856,N18-4120,200,True,description|meta_description|meta_title|short_description|specifications,none,
3855,4120-18,200,True,description|meta_description|meta_title|short_description|specifications,none,
3854,N16-4120,200,True,description|meta_description|meta_title|short_description|specifications,none,
3853,4120-16,200,True,description|meta_description|meta_title|short_description|specifications,none,
3852,N14-4120,200,True,description|meta_description|meta_title|short_description|specifications,none,
3850,4120-14,200,True,description|meta_description|meta_title|short_description|specifications,none,
3849,N12-4120,200,True,description|meta_description|meta_title|short_description|specifications,none,
3848,4120-12,200,True,description|meta_description|meta_title|short_description|specifications,none,
3846,N10-4120,200,True,description|meta_description|meta_title|short_description|specifications,none,
3845,4120-10,200,True,description|meta_description|meta_title|short_description|specifications,none,
3844,N8-4120,200,True,description|meta_description|meta_title|short_description|specifications,none,
3843,ISU-200D,200,True,description|meta_description|meta_title|short_description|specifications,none,
3841,4608-31,200,True,description|meta_description|meta_title|short_description|specifications,none,
3840,4208-1,200,True,description|meta_description|meta_title|short_description|specifications,none,
