sku,product_name,image_url,detail_url,confidence
1136-601,کولیس دیجیتال دو فک 60سانت — 60 سانت,https://www.tosag.ch/media/image/product/52083/lg/digital-messschieber-mit-langen-messschenkeln_2.jpg,https://www.tosag.ch/Digital-caliper-with-long-measuring-legs_2,very_high
1140-100,عمق سنج دیجیتال 10سانت با میله گرد — 10 سانت,https://www.tosag.ch/media/image/product/63784/lg/mini-digital-tiefenmessschieber-mit-rundem-tiefenmass.jpg,https://www.tosag.ch/Mini-Digital-Depth-Caliper-with-Round-Depth-Gauge,very_high
1140-150,عمق سنج دیجیتال 15سانت با میله گرد — 15 سانت,https://www.tosag.ch/media/image/product/63784/lg/mini-digital-tiefenmessschieber-mit-rundem-tiefenmass.jpg,https://www.tosag.ch/Mini-Digital-Depth-Caliper-with-Round-Depth-Gauge,very_high
1150-300,کولیس پایه دار دیجیتال 30سانت — 30 سانت,https://www.tosag.ch/media/image/product/51851/lg/digital-hoehenmess-und-anreissmessgeraet-einfache-ausfuehrung.jpg,https://www.tosag.ch/Digital-height-measuring-and-marking-instrument-simple-version,very_high
1150-500,کولیس پایه دار دیجیتال 50سانت کولیس دیجیتال — 0-500mm,https://www.tosag.ch/media/image/product/51851/lg/digital-hoehenmess-und-anreissmessgeraet-einfache-ausfuehrung.jpg,https://www.tosag.ch/Digital-height-measuring-and-marking-instrument-simple-version,very_high
1150-600,کولیس پایه دار دیجیتال 60سانت — 60 سانت,https://www.tosag.ch/media/image/product/51851/lg/digital-hoehenmess-und-anreissmessgeraet-einfache-ausfuehrung.jpg,https://www.tosag.ch/Digital-height-measuring-and-marking-instrument-simple-version,very_high
1156-300,کولیس پایه دار دیجیتال 30سانت — 30 سانت,https://www.tosag.ch/media/image/product/51862/lg/digital-hoehenmess-und-anreissmessgeraet-mit-antriebsrad.jpg,https://www.tosag.ch/Digital-height-measuring-and-marking-gauge-with-drive-wheel,very_high
1156-600,کولیس پایه دار دیجیتال 60سانت — 60 سانت,https://www.tosag.ch/media/image/product/51862/lg/digital-hoehenmess-und-anreissmessgeraet-mit-antriebsrad.jpg,https://www.tosag.ch/Digital-height-measuring-and-marking-gauge-with-drive-wheel,very_high
1169-150,کولیس دیجیتال فک باریک 15سانت — 15 سانت,https://www.tosag.ch/media/image/product/52075/lg/digital-messschieber-mit-kleiner-punktauflage.jpg,https://www.tosag.ch/Digital-caliper-with-small-point-support,very_high
1170-300,کولیس دیجیتال 30سانت فک بلند 9سانت — 30 سانت,https://www.tosag.ch/media/image/product/52084/lg/digital-messschieber-mit-langen-messschenkeln_3.jpg,https://www.tosag.ch/Digital-caliper-with-long-measuring-legs_3,very_high
1172-200,کولیس دیجیتال 20سانت فک پهن — 20 سانت,https://www.tosag.ch/media/image/product/51991/lg/digital-messschieber-mit-breiten-messflaechen.jpg,https://www.tosag.ch/Digital-caliper-with-wide-measuring-surfaces,very_high
