brand,brand_id,sku,name,description,category_id,category_name,category_confidence,price_raw,price_currency,base_price_toman,price_is_inquiry,accuracy,size_range,size_label_fa,specifications_json,section_title,source_file,source_row_hint,parse_flags
Dasqua | داسکوا,4,7122-0005,ضخامت سنج الکی — 0-50mm,ضخامت سنج الکی,62,عمق سنج,medium,"26,300,000",rial,2630000,false,,0-50mm,,"{""technical_specs"": [{""key"": ""بازه اندازه‌گیری"", ""value"": ""0-50mm""}], ""dimensions"": [], ""features"": {}}",ضخامت سنج الکی,لیست قیمت داسکوا 14050212.pdf,line:3099,
Dasqua | داسکوا,4,7122-0010,ضخامت سنج الکی — 0-100mm,ضخامت سنج الکی,62,عمق سنج,medium,"47,550,000",rial,4755000,false,,0-100mm,,"{""technical_specs"": [{""key"": ""بازه اندازه‌گیری"", ""value"": ""0-100mm""}], ""dimensions"": [], ""features"": {}}",ضخامت سنج الکی,لیست قیمت داسکوا 14050212.pdf,line:3100,
Dasqua | داسکوا,4,7122-0015,ضخامت سنج الکی — 0-150mm,ضخامت سنج الکی,62,عمق سنج,medium,"88,750,000",rial,8875000,false,,0-150mm,,"{""technical_specs"": [{""key"": ""بازه اندازه‌گیری"", ""value"": ""0-150mm""}], ""dimensions"": [], ""features"": {}}",ضخامت سنج الکی,لیست قیمت داسکوا 14050212.pdf,line:3101,
Dasqua | داسکوا,4,7123-0005,پایه سوزن خط کش مگنت — 0-50mm,پایه سوزن خط کش مگنت,62,عمق سنج,high,"133,700,000",rial,13370000,false,,0-50mm,,"{""technical_specs"": [{""key"": ""بازه اندازه‌گیری"", ""value"": ""0-50mm""}], ""dimensions"": [], ""features"": {}}",پایه سوزن خط کش مگنت,لیست قیمت داسکوا 14050212.pdf,line:3149,
Dasqua | داسکوا,4,7212-1015,کمی دیجیتال با درایو 1/2 1 — 0-1015mm,کمی دیجیتال با درایو 1/2 1,59,ساعت اندیکاتور,medium,"96,200,000",rial,9620000,false,0/1,0-1015mm,,"{""technical_specs"": [{""key"": ""دقت"", ""value"": ""0/1""}, {""key"": ""بازه اندازه‌گیری"", ""value"": ""0-1015mm""}], ""dimensions"": [], ""features"": {""دیجیتال"": true}}",کمی دیجیتال با درایو ‪1/2 ‪1,لیست قیمت داسکوا 14050212.pdf,line:2614,
Dasqua | داسکوا,4,7212-4020,شابلون ضخامت سنج رنگ و پوشش,شابلون ضخامت سنج رنگ و پوشش,62,عمق سنج,medium,"172,700,000",rial,17270000,false,0/1,,,"{""technical_specs"": [{""key"": ""دقت"", ""value"": ""0/1""}], ""dimensions"": [], ""features"": {}}",شابلون ضخامت سنج رنگ و پوشش,لیست قیمت داسکوا 14050212.pdf,line:2610,
Dasqua | داسکوا,4,7312-0010,پایه ساعت مفصیل با بازوی سه بعدی — 0-100mm,پایه ساعت مفصیل با بازوی سه بعدی,59,ساعت اندیکاتور,medium,"86,500,000",rial,8650000,false,,0-100mm,,"{""technical_specs"": [{""key"": ""بازه اندازه‌گیری"", ""value"": ""0-100mm""}], ""dimensions"": [], ""features"": {}}",پایه ساعت مفصیل با بازوی سه بعدی,لیست قیمت داسکوا 14050212.pdf,line:3115,
Dasqua | داسکوا,4,7312-0015,پایه ساعت مفصیل با بازوی سه بعدی — 0-150mm,پایه ساعت مفصیل با بازوی سه بعدی,59,ساعت اندیکاتور,medium,"112,500,000",rial,11250000,false,,0-150mm,,"{""technical_specs"": [{""key"": ""بازه اندازه‌گیری"", ""value"": ""0-150mm""}], ""dimensions"": [], ""features"": {}}",پایه ساعت مفصیل با بازوی سه بعدی,لیست قیمت داسکوا 14050212.pdf,line:3117,
Dasqua | داسکوا,4,7412-0005,پایه ساعت هیدرولیک با بازوی سه — 0-50mm,پایه ساعت هیدرولیک با بازوی سه,59,ساعت اندیکاتور,medium,"160,500,000",rial,16050000,false,,0-50mm,,"{""technical_specs"": [{""key"": ""بازه اندازه‌گیری"", ""value"": ""0-50mm""}], ""dimensions"": [], ""features"": {}}",پایه ساعت هیدرولیک با بازوی سه,لیست قیمت داسکوا 14050212.pdf,line:3124,
Dasqua | داسکوا,4,7611-0020,ترازوی جیت دیجیتال — 0-200mm,ترازوی جیت دیجیتال,71,تراز صنعتی,high,"48,000,000",rial,4800000,false,,0-200mm,,"{""technical_specs"": [{""key"": ""بازه اندازه‌گیری"", ""value"": ""0-200mm""}], ""dimensions"": [], ""features"": {""دیجیتال"": true}}",ترازوی جیت دیجیتال,لیست قیمت داسکوا 14050212.pdf,line:3168,
