source_pages,extracted_candidate_row,raw_identity,normalized_identity,raw_price,price_unit,proposed_toman_price,confidence,rejected_reason,duplicate_status,manual_review_required,line
11,"QLR F "" 225-250 150,000,000","QLR F "" 225-250",,"150,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,245
11,"QLR F "" 250-275 160,000,000","QLR F "" 250-275",,"160,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,246
11,"QLR F "" 275-300 180,000,000","QLR F "" 275-300",,"180,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,247
11,"QLR F "" 300-400 624,000,000","QLR F "" 300-400",,"624,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,248
11,"QLR F "" 400-500 624,000,000","QLR F "" 400-500",,"624,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,249
11,"QLR F "" 500-600 752,000,000","QLR F "" 500-600",,"752,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,250
11,"QLR F "" 600-700 880,000,000","QLR F "" 600-700",,"880,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,252
11,"QLR F "" 700-800 1,216,000,000","QLR F "" 700-800",,"1,216,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,253
11,"QLR F "" 800-900 1,244,000,000","QLR F "" 800-900",,"1,244,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,254
11,"QLR F "" 900-1000 1,343,000,000","QLR F "" 900-1000",,"1,343,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,255
11,"QLR F "" 1000-1200 2,552,000,000","QLR F "" 1000-1200",,"2,552,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,256
11,"QLR * + , F "" 25-50 142,000,000","QLR * + , F "" 25-50",,"142,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,257
11,"QLR * + , F "" 50-75 155,000,000","QLR * + , F "" 50-75",,"155,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,258
11,"GL = + , F "" 0-25 144,000,000","GL = + , F "" 0-25",,"144,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,259
11,"GL = + , F "" 25-50 144,000,000","GL = + , F "" 25-50",,"144,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,260
11,"GL = + , F "" 50-75 148,000,000","GL = + , F "" 50-75",,"148,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,261
11,"GL = + , F "" 75-100 151,000,000","GL = + , F "" 75-100",,"151,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,262
11,"G! HI ! 3 6,789,600",G! HI ! 3,,"6,789,600",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,263
11,"G! HI ! 4 8,298,400",G! HI ! 4,,"8,298,400",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,264
11,"G! HI ! 5 9,991,200",G! HI ! 5,,"9,991,200",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,265
11,"J$ ! HI ! 6 4,163,000",J$ ! HI ! 6,,"4,163,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,266
11,"J$ ! HI ! 8 5,485,500",J$ ! HI ! 8,,"5,485,500",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,267
11,"J$ ! HI ! 10 8,303,000",J$ ! HI ! 10,,"8,303,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,268
11,"J$ ! HI ! 12 11,304,500",J$ ! HI ! 12,,"11,304,500",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,269
11,"J$ ! HI ! 14 11,304,500",J$ ! HI ! 14,,"11,304,500",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,270
11,"J$ ! HI ! 16 15,870,000",J$ ! HI ! 16,,"15,870,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,271
11,"J$ ! HI ! 18 22,229,500",J$ ! HI ! 18,,"22,229,500",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,272
11,"J$ ! HI ! 20 29,762,000",J$ ! HI ! 20,,"29,762,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,273
11,"J$ ! HI ! 25 51,520,000",J$ ! HI ! 25,,"51,520,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,274
11,", @ HI ! 14 18,032,000",", @ HI ! 14",,"18,032,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,275
