product_id,sku,product_slug,product_name,brand_name,category_name,product_is_active,product_deleted,product_is_available,image_count
1883,2174-225,2174-225,زاویه سنج دیجیتال اینسایز (Insize) 46 سانت آب تراز دار مدل 225-2174,INSIZE | اینسایز,تراز صنعتی,True,False,True,1
1884,2175-360,2175-360,تراز دیجیتال مگنت دار اینسایز (Insize) مدل 360-2175,INSIZE | اینسایز,تراز صنعتی,True,False,True,1
1885,2176-200,2176-200,زاویه سنج دیجیتال اینسایز (Insize) 20 سانت مدل 200-2176,INSIZE | اینسایز,زاویه سنج,True,False,True,1
1886,2176-300,2176-300,زاویه سنج دیجیتالی 30 سانتی اینسایز (Insize) مدل 300-2176,INSIZE | اینسایز,زاویه سنج,True,False,True,1
1887,2179-360,2179-360,تراز دیجیتال 15 سانتی اینسایز (Insize) مدل 360-2179,INSIZE | اینسایز,تراز صنعتی,True,False,True,1
1888,2222-301,2222-301,پرگار داخل سنج ساعتی 30-10 میلی‌ متر اینسایز (Insize) مدل 301-2222,INSIZE | اینسایز,ساعت اندیکاتور,True,False,True,1
1889,2223-153,2223-153,پرگار ساعتی داخل 55-153 میلی متری اینسایز (Insize) مدل 153-2223,INSIZE | اینسایز,ساعت اندیکاتور,True,False,True,1
1891,2278-180,2278-180,زاویه سنج 3 تیکه اینسایز (Insize) مدل 180-2278,INSIZE | اینسایز,زاویه سنج,True,False,True,1
1892,2281-360,2281-360,زاویه سنج اینسایز (Insize) 20 سانت مدل 360-2281,INSIZE | اینسایز,زاویه سنج,True,False,True,1
1893,2307-105,2307-105,ساعت اینچی اندیکاتور اینسایز (Insize) مدل 105-2307,INSIZE | اینسایز,ساعت اندیکاتور,True,False,True,1
1897,2333-201,2333-201,پرگار خارج سنج اینسایز (Insize) ساعتی 20 میلی متر مدل 201-2333,INSIZE | اینسایز,ساعت اندیکاتور,True,False,True,1
1898,2341-101,2341-101,عمق سنج ساعتی 1 سانتی اینساز (Insize) مدل 101-2341,INSIZE | اینسایز,سختی سنج لاستیک,True,False,True,1
1899,2342-202,2342-202,عمق سنج ساعتی اینسایز (Insize) 300 میلی متر مدل 202-2342,INSIZE | اینسایز,سختی سنج لاستیک,True,False,True,1
1900,2343-102,2343-102,عمق سنج سوزنی ساعتی 10-0 میلی متری اینساز (Insize) مدل 102-2343,INSIZE | اینسایز,ساعت اندیکاتور,True,False,True,1
1901,2372-360,2372-360,زاویه سنج ذره بینی اینسایز (Insize) مدل 360-2372,INSIZE | اینسایز,زاویه سنج,True,False,True,1
1902,2373-360,2373-360,زاویه سنج ساعتی اینسایز (Insize) مدل 360-2373,INSIZE | اینسایز,ساعت اندیکاتور,True,False,True,1
1903,2374-320,2374-320,زاویه سنج اینسایز (Insize) مدل 320-2374,INSIZE | اینسایز,زاویه سنج,True,False,True,1
