id,sku,catalog_code,confidence,match_rule,name,range,accuracy,resolution,series,pdf_page
3552,4621-03,4621-03,very_high,exact_code,فیلر نواری 5 متری با ضخامت 0.03 میلی‌متر اینسایز (Insize) مدل 03-4621,0.03mm,±4µm,,FEELER GAUGE STOCKS,509
3551,3109-50,3109-50A,very_high,unique_letter_suffix,میکرومتر دیجیتال اینسایز (Insize) 50-25 میلی متر خارج سنج مدل 50-3109,"25-50mm/1-2""",±2µm,"0.001mm/0.00005""","DIGITAL OUTSIDE MICROMETERS (BASIC TYPE, WITHOUT DATA OUTPUT) ATTENTION: NO",154
3550,3109-25,3109-25A,very_high,unique_letter_suffix,میکرومتر دیجیتال اینسایز (Insize) 25-0 میلی متر خارج سنج مدل 25-3109,"0-25mm/0-1""",±2µm,"0.001mm/0.00005""","DIGITAL OUTSIDE MICROMETERS (BASIC TYPE, WITHOUT DATA OUTPUT) ATTENTION: NO",154
3549,3108-50,3108-50A,very_high,unique_letter_suffix,میکرومتر دیجیتال اینسایز (Insize) 50-25 میلی متر خارج سنج مدل 50-3108,"25-50mm/1-2""",±2µm,"0.001mm/0.00005""",WATERPROOF DIGITAL OUTSIDE MICROMETERS (WITHOUT DATA OUTPUT),152
3546,4621-02,4621-02,very_high,exact_code,فیلر نواری 5 متری 0.02mm اینسایز (Insize) مدل 02-4621,0.02mm,±4µm,,FEELER GAUGE STOCKS,509
3511,3594-25,3594-25A,very_high,unique_letter_suffix,میکرومتر دیجیتال اینسایز (Insize) 25-0 میلی متر دیسکی مدل 25-3594,"0-25mm/0-1""",±4μm,"0.001mm/0.00005""",NON-ROTATING SPINDLE DISK MICROMETERS,204
3487,2121-25,2121-25,very_high,exact_code,پرگار دیجیتالی داخل سنج 25-5 میلی متری اینسایز (Insize) مدل 25-2121,"5-25mm/0.2-1.0""",±0.03mm,,,
3479,1106-1502,1106-1502,very_high,exact_code,کولیس دیجیتال اینسایز (insize) 1.5 متری مدل 1502-1106,"0-1500mm/0-60""",±0.11mm,"0.01mm/0.0005""",DATA DIGITAL CALIPERS,47
3478,1106-2003,1106-2003,very_high,exact_code,کولیس دیجیتال 2 متری اینسایز (Insize) مدل 2003-1106,"0-2000mm/0-80""",±0.14mm,"0.01mm/0.0005""",DATA DIGITAL CALIPERS,47
3476,1214-1500,1214-1500,very_high,exact_code,کولیس اینسایز (Insize) 1.5 متری مدل 1500-1214,"0-1500mm/0-60""",±0.12mm,"0.02mm/0.001""",VERNIER CALIPERS (SEPARATE TYPE),51
