product_id,sku,brand,category,active_block,availability_block,price_block,image_block,other_block,block_count
2586,673,ASIMETO | آسیمتو,پرگار صنعتی,True,True,True,True,False,4
2587,675,ASIMETO | آسیمتو,پرگار صنعتی,True,True,True,True,False,4
2588,679,ASIMETO | آسیمتو,پرگار صنعتی,True,True,True,True,False,4
2589,681,ASIMETO | آسیمتو,پرگار صنعتی,True,True,True,True,False,4
2590,693,ASIMETO | آسیمتو,خط کش,True,True,True,True,False,4
2591,695,ASIMETO | آسیمتو,خط کش,True,True,True,True,False,4
2592,699,ASIMETO | آسیمتو,خط کش,True,True,True,True,False,4
2593,703,ASIMETO | آسیمتو,انواع گیج,True,True,True,True,False,4
2594,710,ASIMETO | آسیمتو,فیلر,True,True,True,True,False,4
2595,712,ASIMETO | آسیمتو,انواع گیج,True,True,True,True,False,4
2596,714,ASIMETO | آسیمتو,انواع گیج,True,True,True,True,False,4
2597,716,ASIMETO | آسیمتو,انواع گیج,True,True,True,True,False,4
2598,718,ASIMETO | آسیمتو,انواع گیج,True,True,True,True,False,4
2599,720,ASIMETO | آسیمتو,انواع گیج,True,True,True,True,False,4
2600,722,ASIMETO | آسیمتو,انواع گیج,True,True,True,True,False,4
2601,724,ASIMETO | آسیمتو,انواع گیج,True,True,True,True,False,4
2602,726,ASIMETO | آسیمتو,انواع گیج,True,True,True,True,False,4
2603,728,ASIMETO | آسیمتو,انواع گیج,True,True,True,True,False,4
2604,730,ASIMETO | آسیمتو,انواع گیج,True,True,True,True,False,4
2605,732,ASIMETO | آسیمتو,انواع گیج,True,True,True,True,False,4
2606,734,ASIMETO | آسیمتو,انواع گیج,True,True,True,True,False,4
2607,736,ASIMETO | آسیمتو,انواع کولیس,True,True,True,True,False,4
2608,738,ASIMETO | آسیمتو,انواع کولیس,True,True,True,True,False,4
2609,744,ASIMETO | آسیمتو,انواع کولیس,True,True,True,True,False,4
2610,746,ASIMETO | آسیمتو,سختی سنج,True,True,True,True,False,4
2611,750,ASIMETO | آسیمتو,سختی سنج,True,True,True,True,False,4
