product_id,sku,name,brand_id,brand,category_id,category,is_active,is_available,stock_quantity,base_price,original_price,is_priced,image_count,has_real_image,media_materialized,api_visible,storefront_visible,sellable,purchase_eligible,legacy_spec_present,legacy_spec_key_count,product_type_id,product_type,kb_fact_count,kb_asserted_count,kb_unresolved_count,kb_conflict_count,kb_evidence_backed_count,required_definition_count,required_fact_present_count,required_fact_evidenced_count,required_fact_missing_count,technical_maturity_bucket,description_present,short_description_present,commercial_blockers,technical_blockers,deleted_at
2955,2421,گردبر استیل سر الماس astpower کارگیر بلند,13,ASTPOWER | ای اس تی پاور,43,مته پشت گرد HSS,False,False,0.00,,,False,0,False,False,False,False,False,False,True,5,,,0,0,0,0,0,0,0,0,0,T1_LEGACY_ONLY,False,False,activation|availability|price|image,no_authoritative_kb,
2956,2423,فرز انگشتی ZPS چک,46,ZPS | زد پی‌اس,47,برقو,False,False,0.00,,,False,0,False,False,False,False,False,False,True,5,,,0,0,0,0,0,0,0,0,0,T1_LEGACY_ONLY,False,False,activation|availability|price|image,no_authoritative_kb,
2957,2425,فرز انگشتی تمام الماس دوپر سری G-Star وینستار تایوان,32,Winstar | وینستار,47,برقو,False,False,0.00,,,False,0,False,False,False,False,False,False,True,5,,,0,0,0,0,0,0,0,0,0,T1_LEGACY_ONLY,False,False,activation|availability|price|image,no_authoritative_kb,
2958,2427,فرز انگشتی تمام الماس دوپر بلند سری G-Star وینستار تایوان,32,Winstar | وینستار,47,برقو,False,False,0.00,,,False,0,False,False,False,False,False,False,True,5,,,0,0,0,0,0,0,0,0,0,T1_LEGACY_ONLY,False,False,activation|availability|price|image,no_authoritative_kb,
2959,2430,فرز انگشتی تمام الماس چهارپر سری G-Star وینستار تایوان,32,Winstar | وینستار,47,برقو,False,False,0.00,,,False,0,False,False,False,False,False,False,True,5,,,0,0,0,0,0,0,0,0,0,T1_LEGACY_ONLY,False,False,activation|availability|price|image,no_authoritative_kb,
2960,2432,فرز انگشتی تمام الماس چهارپر بلند سری G-Star وینستار تایوان,32,Winstar | وینستار,47,برقو,False,False,0.00,,,False,0,False,False,False,False,False,False,True,5,,,0,0,0,0,0,0,0,0,0,T1_LEGACY_ONLY,False,False,activation|availability|price|image,no_authoritative_kb,
2961,2434,فرز انگشتی تمام الماس دوپر سر کروی سری G-Star وینستار تایوان,32,Winstar | وینستار,47,برقو,False,False,0.00,,,False,0,False,False,False,False,False,False,True,5,,,0,0,0,0,0,0,0,0,0,T1_LEGACY_ONLY,False,False,activation|availability|price|image,no_authoritative_kb,
2962,2436,فرز انگشتی تمام الماس دوپر سر کروی بلند سری G-Star وینستار تایوان,32,Winstar | وینستار,47,برقو,False,False,0.00,,,False,0,False,False,False,False,False,False,True,5,,,0,0,0,0,0,0,0,0,0,T1_LEGACY_ONLY,False,False,activation|availability|price|image,no_authoritative_kb,
2963,2439,فرز انگشتی تمام الماس چهارپر سر کروی سری G-Star وینستار تایوان,32,Winstar | وینستار,47,برقو,False,False,0.00,,,False,0,False,False,False,False,False,False,True,5,,,0,0,0,0,0,0,0,0,0,T1_LEGACY_ONLY,False,False,activation|availability|price|image,no_authoritative_kb,
2964,2441,فرز انگشتی تمام الماس چهارپر سر کروی بلند سری G-Star وینستار تایوان,32,Winstar | وینستار,47,برقو,False,False,0.00,,,False,0,False,False,False,False,False,False,True,5,,,0,0,0,0,0,0,0,0,0,T1_LEGACY_ONLY,False,False,activation|availability|price|image,no_authoritative_kb,
2965,2443,فرز انگشتی تمام الماس چهارپر نوک کروی سری G-Star وینستار تایوان,32,Winstar | وینستار,47,برقو,False,False,0.00,,,False,0,False,False,False,False,False,False,True,5,,,0,0,0,0,0,0,0,0,0,T1_LEGACY_ONLY,False,False,activation|availability|price|image,no_authoritative_kb,
